Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,Class
12960,460.8670043945313,191.5177001953125,86.79779052734375,0.8914036154747009,13211,0.5882353186607361,Osmancik
17353,539.0339965820312,220.9611968994141,101.4541015625,0.8883593082427979,17845,0.630307674407959,Cammeo
12384,460.135986328125,190.8703765869141,85.09120178222656,0.8951295018196106,12811,0.6048351526260376,Cammeo
13681,478.5379943847656,202.76107788085935,87.02304077148438,0.9032142162322998,14015,0.6419388055801392,Cammeo
13623,493.5679931640625,211.73048400878903,82.92393493652344,0.9201148748397828,14065,0.5265538096427917,Cammeo
15009,502.4880065917969,211.09036254882807,91.76154327392578,0.9005740284919739,15370,0.6157538294792175,Cammeo
10453,411.447998046875,175.73219299316406,76.61852264404297,0.8999485969543457,10589,0.8056262135505676,Osmancik
13385,460.8250122070313,192.64614868164065,89.71348571777344,0.8849475979804993,13595,0.6127540469169617,Cammeo
11573,446.9240112304688,186.34878540039065,80.14228820800781,0.9027974009513856,11884,0.5722408890724182,Osmancik
10854,415.2799987792969,170.14402770996094,82.0053939819336,0.8761842250823975,11071,0.6237214207649231,Osmancik
11295,417.3370056152344,174.0199432373047,83.1422348022461,0.8784826993942261,11476,0.7685765027999878,Osmancik
11385,436.6069946289063,180.0699005126953,82.65318298339844,0.8884330987930298,11778,0.759759783744812,Osmancik
14057,463.1419982910156,189.7926025390625,95.08885192871094,0.8654388785362244,14259,0.626119077205658,Cammeo
12431,437.6570129394531,178.19419860839844,89.48651885986328,0.8647599816322327,12657,0.7355621457099915,Osmancik
14523,491.93701171875,205.1251220703125,91.14208221435548,0.8958659768104553,14849,0.6100050210952759,Cammeo
11779,440.97601318359375,191.88247680664065,78.73442840576172,0.9119387865066528,11918,0.5837545990943909,Osmancik
15811,514.3779907226562,218.7313690185547,93.16437530517578,0.9047558307647704,16135,0.8186713457107544,Cammeo
12495,451.3169860839844,182.64161682128903,88.68121337890625,0.8742101788520813,12902,0.5906125903129578,Osmancik
12120,439.7139892578125,181.69793701171875,85.99253845214844,0.8809163570404053,12335,0.6025354266166687,Osmancik
11689,444.8980102539063,191.93597412109372,78.10004425048828,0.913469672203064,11935,0.5492951273918152,Cammeo
12416,449.739990234375,190.6075592041016,83.51945495605469,0.8988897204399109,12607,0.6772117614746094,Osmancik
10889,409.0169982910156,165.91946411132812,84.85234832763672,0.8593387603759766,11123,0.8048041462898254,Osmancik
10604,409.1910095214844,169.17115783691406,80.42681121826172,0.8797606825828552,10780,0.7843195199966431,Osmancik
11634,427.1050109863281,171.3263397216797,88.26649475097656,0.8570728898048401,11967,0.7096931338310242,Osmancik
17246,540.5419921875,225.9888610839844,98.57315063476562,0.8998565673828125,17704,0.5739292502403259,Cammeo
15301,515.5269775390625,220.2921295166016,89.46644592285156,0.9138169288635254,15690,0.5376695394515991,Cammeo
11080,424.7690124511719,175.1816864013672,81.33550262451172,0.8856820464134216,11337,0.5829124450683594,Osmancik
11601,416.64599609375,165.78099060058594,89.89610290527344,0.8402119278907776,11782,0.6452168822288513,Osmancik
14155,480.5220031738281,200.54673767089844,91.05967712402344,0.8909725546836853,14462,0.7221938967704773,Cammeo
11772,436.5960083007813,181.4926605224609,83.73271942138672,0.8872151374816895,11984,0.5720116496086121,Osmancik
10458,396.0920104980469,161.55184936523438,83.1700439453125,0.8572986125946045,10642,0.6955769658088684,Osmancik
12495,454.7929992675781,186.7766265869141,86.49271392822266,0.8863159418106079,12774,0.750315248966217,Osmancik
10576,417.0199890136719,175.3908233642578,77.4555892944336,0.8972036242485046,10729,0.5659246444702148,Osmancik
15522,507.2420043945313,213.6819305419922,94.90153503417967,0.8959647417068481,15782,0.7789040803909302,Cammeo
10608,404.6929931640625,161.5894012451172,85.35478973388672,0.8491074442863464,10895,0.7084752321243286,Osmancik
13811,482.2980041503906,206.7147521972656,85.73661804199219,0.9099317193031312,14000,0.5559312701225281,Cammeo
15248,509.00299072265625,217.9924774169922,90.1074676513672,0.9105716347694396,15557,0.7353395223617554,Cammeo
10628,418.3039855957031,171.82481384277344,80.32759857177734,0.8839946389198303,10828,0.7150642275810242,Osmancik
13277,463.9679870605469,193.06089782714844,88.17571258544922,0.8896080255508423,13454,0.610156238079071,Cammeo
10492,405.9100036621094,162.7976531982422,83.49519348144531,0.8584620356559753,10888,0.629129946231842,Osmancik
10697,408.843994140625,163.87522888183594,84.58505249023438,0.8564950823783875,10995,0.7581148147583008,Osmancik
14957,505.1170043945313,213.04562377929688,90.70896911621094,0.9048302173614502,15347,0.6541152596473694,Cammeo
11026,425.010009765625,179.95877075195312,79.05262756347656,0.8983492851257324,11185,0.558617889881134,Osmancik
14186,484.05999755859375,201.1923065185547,91.25877380371094,0.8912106156349182,14560,0.7665207982063293,Osmancik
18313,538.4979858398438,222.46424865722656,106.18474578857422,0.8787341713905334,18724,0.6244203448295593,Cammeo
11870,432.2980041503906,177.3648223876953,86.76658630371094,0.8721725344657898,12143,0.7708292603492737,Osmancik
15583,510.6910095214844,217.3515472412109,92.1208953857422,0.9057400822639464,15826,0.686959981918335,Cammeo
10286,406.7130126953125,171.05067443847656,77.44872283935547,0.8916210532188416,10469,0.6184463500976562,Osmancik
11411,430.9339904785156,184.3092498779297,79.25812530517578,0.902815580368042,11587,0.6478737592697144,Cammeo
13444,474.5929870605469,197.95042419433597,87.63919067382812,0.8966534733772278,13881,0.65660560131073,Cammeo
15119,508.3420104980469,213.3793029785156,91.25335693359376,0.9039406180381776,15612,0.7237780690193176,Cammeo
12076,452.5429992675781,188.35916137695312,82.79437255859375,0.8982152938842773,12367,0.7058686017990112,Osmancik
14546,494.1679992675781,212.313720703125,87.87223815917969,0.9103317856788636,14826,0.6257420778274536,Cammeo
11441,415.8580017089844,170.4867706298828,85.756591796875,0.8642804622650146,11628,0.6810119152069092,Osmancik
10061,393.3829956054688,160.8769073486328,80.60932922363281,0.8654112815856934,10242,0.6200542449951172,Osmancik
16431,509.385009765625,208.0528717041016,101.96148681640624,0.8716803193092346,16875,0.7322192788124084,Cammeo
10620,404.9320068359375,164.5205535888672,83.29569244384766,0.8623611927032471,10863,0.7618364691734314,Osmancik
11334,433.3890075683594,178.98973083496094,82.29804229736328,0.8880266547203064,11566,0.7115771174430847,Osmancik
10785,437.8840026855469,181.26580810546875,77.6593017578125,0.9035760760307312,11209,0.5501428246498108,Cammeo
11928,427.0750122070313,175.03939819335938,87.81713104248047,0.8650421500205994,12121,0.6277894973754883,Osmancik
12959,473.6099853515625,206.2255096435547,80.63357543945312,0.9203919172286988,13309,0.5951593518257141,Osmancik
12771,449.260009765625,190.35739135742188,85.92546081542969,0.8923266530036926,12939,0.7760695219039917,Osmancik
13321,467.4079895019531,200.9202880859375,85.13778686523438,0.90578430891037,13543,0.5986966490745544,Cammeo
14424,497.7699890136719,210.74310302734372,88.51709747314453,0.90751314163208,14920,0.5582043528556824,Cammeo
10897,420.5549926757813,168.11865234375,83.5630111694336,0.8677231073379517,11174,0.640849232673645,Osmancik
13237,478.010986328125,199.68923950195312,85.27763366699219,0.9042271971702576,13627,0.5585231781005859,Cammeo
16603,513.5230102539062,213.520263671875,99.96153259277344,0.8836439847946167,16922,0.6089045405387878,Cammeo
9975,393.1889953613281,161.056640625,79.77388000488281,0.8687130808830261,10162,0.7745166420936584,Osmancik
16944,543.1259765625,236.12521362304688,92.6810302734375,0.919748604297638,17189,0.651943027973175,Cammeo
11910,434.7380065917969,178.36727905273438,86.32251739501953,0.875090479850769,12118,0.7916251420974731,Osmancik
12605,448.8460083007813,186.7164459228516,86.67118072509766,0.8857377171516418,12804,0.7259690165519714,Osmancik
13507,468.239013671875,197.50924682617188,87.92959594726562,0.8954349756240845,13735,0.5772222280502319,Cammeo
14031,494.2650146484375,213.7095184326172,84.46609497070312,0.918578803539276,14265,0.7388625741004944,Cammeo
11525,433.781005859375,184.42333984375,80.1666259765625,0.9005810618400574,11697,0.6127060055732727,Osmancik
10705,414.3349914550781,169.6468963623047,81.65567779541016,0.8765409588813782,10882,0.7734826803207397,Osmancik
11136,419.52099609375,172.73733520507812,82.87893676757812,0.877379298210144,11373,0.7061509490013123,Osmancik
10727,425.9020080566406,178.7144317626953,77.53144073486328,0.9009953737258912,10960,0.5643413066864014,Cammeo
10986,425.12701416015625,172.6788330078125,83.54908752441406,0.8751559257507324,11450,0.7299183011054993,Osmancik
14850,509.2749938964844,215.96319580078125,89.12654876708984,0.91087007522583,15372,0.7994186282157898,Cammeo
11397,425.7560119628906,172.88916015625,85.73677062988281,0.8683761954307556,11726,0.7529730200767517,Osmancik
12289,444.5549926757813,186.3528594970703,84.85929870605469,0.890302836894989,12448,0.7676786780357361,Osmancik
14142,470.7130126953125,180.69857788085935,101.76226043701172,0.8263476490974426,14709,0.7027429938316345,Osmancik
13632,485.93701171875,205.21495056152344,85.83135223388672,0.9083315134048462,13905,0.5501210689544678,Cammeo
12071,438.7000122070313,178.78460693359375,87.50312042236328,0.8720408082008362,12437,0.6453699469566345,Osmancik
11000,413.260986328125,167.33331298828125,84.73780059814453,0.8622979521751404,11158,0.7936508059501648,Osmancik
13787,474.3380126953125,194.6946258544922,91.07733154296876,0.883836567401886,14075,0.6161787509918213,Cammeo
14723,491.0549926757813,204.17567443847656,93.06549072265624,0.8900766372680664,15021,0.575679361820221,Cammeo
11905,443.7690124511719,185.27023315429688,83.6057357788086,0.8923906683921814,12209,0.6272061467170715,Osmancik
9751,412.5979919433594,175.4506378173828,71.44275665283203,0.9133408665657043,10034,0.7143589854240417,Osmancik
10264,410.1390075683594,169.6039581298828,78.00386047363281,0.8879615664482117,10572,0.5957742929458618,Osmancik
11898,420.7789916992188,166.07846069335938,92.47577667236328,0.830633282661438,12133,0.7624967694282532,Osmancik
11122,410.9869995117188,165.03631591796875,87.14314270019531,0.8492293953895569,11379,0.7138639092445374,Osmancik
12466,448.8569946289063,181.19337463378903,88.6875,0.8720239400863647,12779,0.6040899157524109,Osmancik
12153,451.21099853515625,187.76919555664065,83.64883422851562,0.8952881097793579,12497,0.7064875960350037,Cammeo
12683,444.531005859375,176.62496948242188,92.58024597167967,0.8516180515289307,13094,0.6680889129638672,Osmancik
15143,504.1400146484375,207.7341766357422,94.14838409423828,0.8914008736610413,15628,0.5713261365890503,Cammeo
13093,470.1000061035156,197.197021484375,85.79728698730469,0.9003897905349731,13358,0.5573861002922058,Osmancik
12016,443.2229919433594,189.28106689453125,81.1222152709961,0.9035034775733948,12186,0.7465672492980957,Osmancik
13267,465.0320129394531,193.76559448242188,88.83869934082031,0.8887019157409668,13543,0.6644130349159241,Osmancik
12599,455.281005859375,188.0159149169922,86.3744888305664,0.8882295489311218,12897,0.6212524771690369,Cammeo
10527,403.3479919433594,163.06924438476562,83.8401870727539,0.857707142829895,10725,0.6350364685058594,Osmancik
14561,493.5299987792969,208.6929626464844,89.70529174804688,0.9029034376144408,14986,0.7720572352409363,Cammeo
11339,425.5060119628906,177.04713439941406,82.54740905761719,0.8846554160118103,11533,0.5920530557632446,Osmancik
13006,486.7070007324219,213.1280517578125,78.45640563964844,0.929778814315796,13399,0.6224455833435059,Cammeo
9117,393.8380126953125,167.6113739013672,69.95188903808594,0.9087477922439576,9333,0.5402666926383972,Osmancik
11659,429.7149963378906,173.34828186035156,87.54778289794922,0.8630960583686829,11912,0.6087614893913269,Osmancik
12650,438.1449890136719,175.83982849121094,92.56993865966795,0.8502093553543091,12871,0.7943485379219055,Osmancik
10509,405.0570068359375,166.5041046142578,81.1501235961914,0.8731921315193176,10722,0.6744320392608643,Osmancik
12737,445.1539916992188,178.9357452392578,91.93397521972656,0.8579207062721252,12942,0.6185411810874939,Osmancik
13619,467.7659912109375,193.68093872070312,90.47348022460938,0.884190559387207,13926,0.5866718292236328,Osmancik
9768,413.5580139160156,179.79776000976562,69.92797088623047,0.9212691187858582,9943,0.702531635761261,Osmancik
14053,497.052001953125,216.19186401367188,84.1599349975586,0.9211179614067078,14416,0.808387041091919,Cammeo
15543,507.385009765625,211.65121459960935,94.57139587402344,0.8946205973625183,15976,0.6529300808906555,Cammeo
14688,507.1669921875,211.74337768554688,89.31245422363281,0.9066908955574036,15262,0.6460239291191101,Cammeo
10896,419.385009765625,174.1399688720703,80.5483627319336,0.8865934014320374,11145,0.5896103978157043,Osmancik
